,Time,News Reporter,News Headline,URL
0,Jan-29-22 07:04PM  , Investor's Business Daily,"Dow Jones Futures: Market Rally Steps Up As Apple Leads, But Be Wary; 5 Key Earnings",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-rally-steps-up-as-apple-leads-but-be-wary-5-key-earnings/?src=A00220
1,Jan-29-22 11:45AM  , Motley Fool,2 Reasons Elon Musk Can't Save Dogecoin,https://www.fool.com/investing/2022/01/29/2-reasons-elon-musk-cant-save-dogecoin/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
2,Jan-29-22 08:46AM  , Investor's Business Daily,Is Li Auto Stock A Buy With January Deliveries Due?,https://www.investors.com/research/li-auto-stock-buy-now/?src=A00220
3,Jan-29-22 08:41AM  , Motley Fool,Tesla Stock Down 22%: Bull vs. Bear,https://www.fool.com/investing/2022/01/29/tesla-stock-down-big-bull-vs-bear/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
4,Jan-29-22 08:30AM  , Motley Fool,The Biggest Industrial Trend Tesla and Others Are Following,https://www.fool.com/investing/2022/01/29/the-biggest-industrial-trend-tesla-and-others-are/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
5,Jan-29-22 08:13AM  , Investor's Business Daily,"Tesla Stock Vs. BYD Stock: Tesla Growing Fast, But EV Rival Is Catching Up",https://www.investors.com/news/tesla-stock-vs-byd-stock-comparing-ev-stocks-tsla-byddf/?src=A00220
6,Jan-29-22 06:26AM  , Motley Fool,3 Cathie Wood Stocks That Could Deliver Superior Returns,https://www.fool.com/investing/2022/01/29/3-cathie-wood-stocks-deliver-superior-returns/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
7,Jan-29-22 06:00AM  , Motley Fool,5 Reasons GM's Cruise Could Win the Autonomous Driving Race,https://www.fool.com/investing/2022/01/29/5-reasons-gms-cruise-could-win-the-autonomous-driv/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
8,Jan-29-22 12:10AM  , The Wall Street Journal,Tesla Is the Latest Entrant Into the Carpool Karaoke Competition,https://www.wsj.com/articles/teslas-car-karaoke-mic-in-china-sells-out-on-first-day-11643382513?mod=itp_wsj
9,Jan-28-22 08:28PM  , Barrons.com,This Is What an Earnings Slowdown Looks Like. Things Could Take a Turn for the Worse.,https://www.barrons.com/articles/stock-market-dow-nasdaq-sp-500-earnings-season-51643419644?siteid=yhoof2
10,Jan-28-22 08:23PM  , Barrons.com,Tesla Reported Record Profits. Its Stock Was Punished. Its a Better Buy Than GM or Ford.,https://www.barrons.com/articles/tesla-stock-tsla-ford-gm-51643419110?siteid=yhoof2
11,Jan-28-22 05:38PM  , GuruFocus.com,"Heritage Investors Management Corp Buys PayPal Holdings Inc, RingCentral Inc, ServiceNow Inc, ...",https://finance.yahoo.com/news/heritage-investors-management-corp-buys-223819912.html
12,Jan-28-22 05:15PM  , Yahoo Finance,"Tesla sees booming 2022 sales, but Wall Street warns of 'degrees of complication'",https://finance.yahoo.com/news/tesla-sees-2022-sales-boom-but-heres-why-wall-street-thinks-its-lofty-goals-are-complicated-221544709.html
13,Jan-28-22 04:55PM  , The Wall Street Journal,Elon Musks Decision to Slow New Tesla Models Risks Holding Up Growth,https://www.wsj.com/articles/elon-musks-decision-to-slow-new-tesla-models-risks-holding-up-growth-11643375015?mod=itp_wsj
14,Jan-28-22 04:47PM  , IPO-Edge.com,"SES Holdings Founder & CEO on Next-Generation EV Batteries, Going Public",https://finance.yahoo.com/news/ses-holdings-founder-ceo-next-214708445.html
15,Jan-28-22 04:11PM  , Yahoo Finance Video,"Electric-vehicles: A 3-wheeled, one-seater EV now in production",https://finance.yahoo.com/video/electric-vehicles-3-wheeled-one-211151240.html
16,Jan-28-22 03:55PM  , Investopedia,Analyst Opinion Is Divided After Tesla's Earnings Call,https://www.investopedia.com/analyst-opinion-divided-after-tesla-earnings-5217332?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
17,Jan-28-22 02:08PM  , Investor's Business Daily,These Are The 5 Best EV Stocks To Buy And Watch Now,https://www.investors.com/news/best-ev-stocks-buy-now-electric-cars/?src=A00220
18,Jan-28-22 01:58PM  , Fortune,Tesla and other major public companies sunk billions into crypto and now theyre taking a big hit,https://finance.yahoo.com/news/tesla-other-major-public-companies-185824047.html
19,Jan-28-22 01:38PM  , GuruFocus.com,"Prentiss Smith & Co Inc Buys The Honest Co Inc, Expeditors International of Washington Inc, ...",https://finance.yahoo.com/news/prentiss-smith-co-inc-buys-183825408.html
20,Jan-28-22 01:38PM  , GuruFocus.com,"Wedgewood Investors Inc  Buys NextEra Energy Inc, Tesla Inc, Southern Co, Sells PayPal Holdings ...",https://finance.yahoo.com/news/wedgewood-investors-inc-buys-nextera-183824292.html
21,Jan-28-22 01:38PM  , GuruFocus.com,"Bar Harbor Trust Services Buys TJX Inc, Lennar Corp, iShares TIPS Bond ETF, Sells Fidelity ...",https://finance.yahoo.com/news/bar-harbor-trust-services-buys-183816289.html
22,Jan-28-22 01:38PM  , GuruFocus.com,"Charter Trust Co Buys iShares TIPS Bond ETF, iShares 1-3 Year Credit Bond ETF, Bank of America ...",https://finance.yahoo.com/news/charter-trust-co-buys-ishares-183813232.html
23,Jan-28-22 01:23PM  , Barrons.com,Tesla Stock Sinks and Cathie Woods ARK Gets Back to Buying,https://www.barrons.com/articles/tesla-stock-cathie-wood-ark-51643362233?siteid=yhoof2
24,Jan-28-22 01:06PM  , Motley Fool,Why Lucid Stock Is Plummeting This Week,https://www.fool.com/investing/2022/01/28/why-lucid-stock-is-plummeting-this-week/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
25,Jan-28-22 12:49PM  , Investor's Business Daily,"With Fourth-Quarter Earnings Beating Estimates, Is Tesla Stock A Buy?",https://www.investors.com/news/technology/tesla-stock-is-it-a-buy-now/?src=A00220
26,Jan-28-22 11:53AM  , Motley Fool,Why Tesla Stock Raced Ahead Today,https://www.fool.com/investing/2022/01/28/why-tesla-stock-raced-ahead-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
27,Jan-28-22 11:34AM  , Yahoo Finance Video,"Market check: Stocks mixed, Apple shares rise, yield curve contracts",https://finance.yahoo.com/video/market-check-stocks-mixed-apple-163424345.html
28,Jan-28-22 11:12AM  , Investor's Business Daily,"Stock Market Whipsaws Lower On Hawkish Fed, Tesla; Apple, Microsoft Earnings Strong: Weekly Review",https://www.investors.com/news/stock-market-whipsaws-lower-on-hawkish-fed-tesla-apple-microsoft-earnings-strong/?src=A00220
29,Jan-28-22 11:11AM  , Motley Fool,Why Rivian Stock Stalled Today,https://www.fool.com/investing/2022/01/28/why-rivian-stock-stalled-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
30,Jan-28-22 11:02AM  , Motley Fool,Why Lucid Stock Dropped 10% This Morning,https://www.fool.com/investing/2022/01/28/why-lucid-stock-dropped-10-this-morning/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
31,Jan-28-22 10:35AM  , Motley Fool,Cathie Wood Goes Bargain Hunting: 3 Stocks She Just Bought,https://www.fool.com/investing/2022/01/28/cathie-wood-goes-bargain-hunting-3-stocks-she-just/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
32,Jan-28-22 10:18AM  , Yahoo Finance Video,Rivian has huge potential upside despite the stock's recent plunge: Analyst,https://finance.yahoo.com/video/rivian-huge-potential-upside-despite-151848633.html
33,Jan-28-22 10:03AM  , Barrons.com,The White House Is Ignoring Tesla. Elon Musk Pushes Back on Twitter With a Spelling Lesson.,https://www.barrons.com/articles/tesla-stock-elon-musk-joe-biden-twitter-51643382111?siteid=yhoof2
34,Jan-28-22 09:50AM  , Investor's Business Daily,Dow Jones Sells Off As Selling Continues; Apple Jumps On Earnings,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-sell-off-but-apple-stock-jumps-on-earnings/?src=A00220
35,Jan-28-22 09:46AM  , Bloomberg,Tesla Slump Heaps Pain on Cathie Woods Struggling ARKK Fund,https://finance.yahoo.com/news/tesla-slump-heaps-pain-cathie-130832553.html
36,Jan-28-22 09:38AM  , GuruFocus.com,"Stevens Capital Management Lp Buys VanEck Gold Miners ETF, Boeing Co, Financial Select Sector ...",https://finance.yahoo.com/news/stevens-capital-management-lp-buys-143803836.html
37,Jan-28-22 09:15AM  , Reuters,Cathie Wood's ARK buys the dip in Tesla shares after months of selling,https://finance.yahoo.com/news/cathie-woods-ark-buys-dip-141544967.html
38,Jan-28-22 08:25AM  , Investor's Business Daily,Dow Jones Futures Fall On Fed Fears Despite Apple Gains; Tesla Plunge Signals End For These Stocks,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-apple-stock-after-market-sells-off-again-tesla-stock-plunges/?src=A00220
39,Jan-28-22 07:56AM  , Quartz,The biggest corporate holder of bitcoin is not Square or Tesla,https://qz.com/2118492/%E2%80%8B%E2%80%8Bthe-biggest-corporate-holder-of-bitcoin-is-not-square-or-tesla/?utm_source=YPL
40,Jan-28-22 07:14AM  , Reuters,Daimler AG to rebrand as Mercedes-Benz on Feb. 1,https://finance.yahoo.com/news/daimler-ag-rebrand-mercedes-benz-121455149.html
41,Jan-28-22 07:06AM  , Zacks,3 Top-Ranked Efficient Stocks to Boost Your Portfolio,https://finance.yahoo.com/news/3-top-ranked-efficient-stocks-120612322.html
42,Jan-28-22 06:59AM  , Reuters,CORRECTED-Daimler AG to rebrand as Mercedes-Benz on Feb. 1,https://finance.yahoo.com/news/daimler-ag-rebrand-mercedes-benz-115952186.html
43,Jan-28-22 06:44AM  , Yahoo Finance,"Tesla rival Rivian's stock could skyrocket at least 160%, says top analyst",https://finance.yahoo.com/news/tesla-rival-rivians-stock-could-skyrocket-at-least-160-says-top-analyst-114323472.html
44,Jan-28-22 06:00AM  , Reuters,"Apple makes easy escape from supply crisis, but others may have to wait",https://finance.yahoo.com/news/apple-makes-easy-escape-supply-110000846.html
45,Jan-27-22 05:59PM  , Motley Fool -11.55%,"Tesla Dragged Down the Market Thursday, but This Large-Cap Loser Fell Twice as Hard",https://www.fool.com/investing/2022/01/27/tesla-dragged-down-the-market-thursday-but-this-la/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
46,Jan-27-22 05:53PM  , GuruFocus.com,Tesla Is Stalling for Time With Optimus Subprime as Supply Chain Issues Persist,https://finance.yahoo.com/news/tesla-stalling-time-optimus-subprime-225314252.html
47,Jan-27-22 05:38PM  , GuruFocus.com,"Wright Investors Service Inc Buys Tesla Inc, Marriott International Inc, Caterpillar Inc, Sells ...",https://finance.yahoo.com/news/wright-investors-inc-buys-tesla-223812802.html
48,Jan-27-22 05:38PM  , GuruFocus.com,"Cumberland Advisors Inc Buys SPDR Metals & Mining ETF, iShares MSCI Japan ETF, Vanguard ...",https://finance.yahoo.com/news/cumberland-advisors-inc-buys-spdr-223802614.html
49,Jan-27-22 05:16PM  , TipRanks,Tesla: Austin Production and Battery News Are Potential Game Changers,https://finance.yahoo.com/news/tesla-austin-production-battery-news-221623422.html
50,Jan-27-22 04:54PM  , Moody's,"Tesla, Inc. -- Moody's announces completion of a periodic review of ratings of Tesla, Inc.",https://finance.yahoo.com/news/tesla-inc-moodys-announces-completion-215406221.html
51,Jan-27-22 04:39PM  , Yahoo Finance,Why Tesla is building a humanoid robot,https://finance.yahoo.com/news/tesla-humanoid-robot-oppenheimer-213926450.html
52,Jan-27-22 04:36PM  , IPO-Edge.com,"Video Highlights  EV Batteries for Honda, GM: Join SES Holdings Founder & CEO in Fireside Chat",https://finance.yahoo.com/news/video-highlights-ev-batteries-honda-213603064.html
53,Jan-27-22 04:17PM  , Investor's Business Daily,Tesla Stock Dives Despite Earnings Beat As Product Roadmap Lacks Products,https://www.investors.com/news/tesla-stock-slumps-ahead-of-earnings/?src=A00220
54,Jan-27-22 04:14PM  , Bloomberg,Teslas Drop Wiped Out $100 Billion of Market Value in a Day,https://finance.yahoo.com/news/tesla-drop-wiped-100-billion-211429247.html
55,Jan-27-22 04:14PM  , Yahoo Finance Video,Market check: Stocks lose steam into session close,https://finance.yahoo.com/video/market-check-stocks-lose-steam-211409642.html
56,Jan-27-22 03:55PM  , MarketWatch,A custom 752-mile-range Tesla is just one battery breakthrough that scientists are developing,https://www.marketwatch.com/story/a-custom-752-mile-range-tesla-is-just-one-battery-breakthrough-that-scientists-are-developing-11643316908?siteid=yhoof2
57,Jan-27-22 03:14PM  , Yahoo Finance,Lucid stock falls after rival Tesla warns about supply chain,https://finance.yahoo.com/news/lucid-stock-falls-further-after-rival-tesla-warns-about-supply-chain-201426000.html
58,Jan-27-22 03:12PM  , Barrons.com,Tesla Earnings Disappointed. Why Analysts Are Raising Their Price Targets.,https://www.barrons.com/articles/tesla-stock-earnings-analysts-51643288684?siteid=yhoof2
59,Jan-27-22 03:04PM  , The Telegraph,"Calling cars 'self-driving' should be criminal offence if human input needed, says Law Commission",https://finance.yahoo.com/news/calling-cars-self-driving-criminal-200417383.html
60,Jan-27-22 02:57PM  , Barrons.com,Teslas Earnings Beat Was Better Than You Think. Heres Why.,https://www.barrons.com/articles/tesla-earnings-elon-musk-taxes-51643283898?siteid=yhoof2
61,Jan-27-22 02:10PM  , Reuters,"US STOCKS-Wall St slips as chipmakers, Tesla weigh; Netflix jumps",https://finance.yahoo.com/news/us-stocks-wall-st-slips-191040263.html
62,Jan-27-22 02:10PM  , Investopedia,Stocks Are Mixed; Tesla Decline Pushes Nasdaq Lower,https://www.investopedia.com/stocks-mixed-tesla-pushes-nasdaq-lower-5217255?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
63,Jan-27-22 02:03PM  , Yahoo Finance,"Tesla is disappointing investors because it doesn't have a $25,000 car: analyst",https://finance.yahoo.com/news/tesla-is-disappointing-investors-because-it-doesnt-have-a-25000-car-analyst-190339823.html
64,Jan-27-22 01:55PM  , Investor's Business Daily,Is Lucid Motors Stock A Buy Right Now As Lucid Air Named 'Best Car To Buy 2022?',https://www.investors.com/research/lucid-motors-stock-buy-now/?src=A00220
65,Jan-27-22 01:43PM  , Zacks,The Zacks Analyst Blog Highlights: Tesla and Intel,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-tesla-184306335.html
66,Jan-27-22 01:38PM  , GuruFocus.com,"Vishria Bird Financial Group, LLC Buys Amplitude Inc, Delta Air Lines Inc, New Relic Inc, Sells ...",https://finance.yahoo.com/news/vishria-bird-financial-group-llc-183817507.html
67,Jan-27-22 01:11PM  , Investopedia,Key Takeaways From Tesla's Q4 2021 Earnings,https://www.investopedia.com/tesla-q4-2021-earnings-takeaways-5217253?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
68,Jan-27-22 01:06PM  , Yahoo Finance,Tesla stock slide 8% over supply-chain woes and new vehicle delays,https://finance.yahoo.com/news/tesla-shares-slide-8-over-supply-chain-woes-and-new-vehicle-delays-180602754.html
69,Jan-27-22 12:47PM  , Reuters,"Tesla sinks after supply chain warning, hitting other EV makers",https://finance.yahoo.com/news/tesla-drops-supply-chain-warning-174700427.html
70,Jan-27-22 12:46PM  , Motley Fool,Why Tesla Stock Tumbled 7.5% Today,https://www.fool.com/investing/2022/01/27/why-tesla-stock-tumbled-75-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
71,Jan-27-22 12:38PM  , Zacks,"Zacks Industry Outlook Highlights: Tesla, Ford and General Motors",https://finance.yahoo.com/news/zacks-industry-outlook-highlights-tesla-173805212.html
72,Jan-27-22 12:36PM  , Motley Fool,"Why Lucid Group, Nio, and Rivian Are All Down Again Today",https://www.fool.com/investing/2022/01/27/why-lucid-group-nio-and-rivian-are-all-down-again/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
73,Jan-27-22 12:35PM  , Yahoo Finance,"Tesla Optimus robot probably won't be a big profit driver, Wall Street thinks",https://finance.yahoo.com/news/tesla-optimus-robot-probably-wont-be-a-big-profit-driver-wall-street-thinks-173528019.html
74,Jan-27-22 12:31PM  , MarketWatch,Tesla stock falls as EV maker throws curveballs at bulls,https://www.marketwatch.com/story/tesla-stock-falls-as-ev-maker-throws-curveballs-at-bulls-11643304661?siteid=yhoof2
75,Jan-27-22 11:36AM  , Yahoo Finance Video,"Tesla: Electric vehicle market nowhere close to being saturated in China, analyst says",https://finance.yahoo.com/video/tesla-electric-vehicle-market-nowhere-163650934.html
76,Jan-27-22 10:43AM  , Investopedia,Economy Grew More Than Expected in 4Q; Stocks Jump,https://www.investopedia.com/economy-grew-more-than-expected-in-4q-5217229?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
77,Jan-27-22 10:35AM  , Bloomberg,Tesla Drops as Musk Delays Models Due to Supply-Chain Woes,https://finance.yahoo.com/news/tesla-beats-fourth-quarter-estimates-222259665.html
78,Jan-27-22 10:33AM  , Reuters,US STOCKS-Wall Street firms 1% on boost from tech stocks,https://finance.yahoo.com/news/us-stocks-wall-street-firms-153305714.html
79,Jan-27-22 10:29AM  , Investor's Business Daily,ARK Invest Stocks To Buy And Watch: 7 Stocks That Cathie Wood's ARK ETFs Own; Tesla Dives On Earnings,https://www.investors.com/research/ark-invest-stocks/?src=A00220
80,Jan-27-22 10:23AM  , Yahoo Finance Video,"Market check: Stocks rise in early trading, Tesla shares fall, Robinhood declines",https://finance.yahoo.com/video/market-check-stocks-rise-early-152308822.html
81,Jan-27-22 10:19AM  , Investor's Business Daily,Is Rivian Stock A Buy As Analyst Predicts 'Choppy' Road To Ramp-Up?,https://www.investors.com/news/rivian-stock-to-buy-rivian-ipo/?src=A00220
82,Jan-27-22 10:10AM  , Yahoo Finance Video,Tesla earnings: Analyst explains 3 things that were a bit cautious in the report,https://finance.yahoo.com/video/tesla-earnings-analyst-explains-3-151049761.html
83,Jan-27-22 10:10AM  , Bloomberg,Now Its Apples Turn to Try and Boost Tech Stocks After Rout,https://finance.yahoo.com/news/now-apple-turn-try-boost-151044477.html
84,Jan-27-22 09:55AM  , Investor's Business Daily,"Dow Jones Surges Amid Stock Market Volatility; Tesla Skids On Earnings, Apple Earnings Due",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fall-as-tesla-stock-drops-on-earnings-apple-earnings-on-deck/?src=A00220
85,Jan-27-22 09:54AM  , Barrons.com,Tesla Stock Is Down After Earnings. Watch These Other 10 Stocks.,https://www.barrons.com/articles/tesla-earnings-ev-stocks-51643295214?siteid=yhoof2
86,Jan-27-22 09:38AM  , GuruFocus.com,Regentatlantic Capital Llc Buys iShares Core U.S. ...,https://finance.yahoo.com/news/regentatlantic-capital-llc-buys-ishares-143809982.html
87,Jan-27-22 09:32AM  , Yahoo Finance Video,Tesla beats Q4 estimates but expects supply chain challenges,https://finance.yahoo.com/video/tesla-beats-q4-estimates-expects-143243870.html
88,Jan-27-22 09:08AM  , Reuters,US STOCKS-Tech stocks set to push Wall Street higher at open,https://finance.yahoo.com/news/us-stocks-tech-stocks-set-140835063.html
89,Jan-27-22 08:53AM  , American City Business Journals,"Model Y, battery cell production underway at Tesla's Austin-area factory",https://www.bizjournals.com/austin/news/2022/01/27/tesla-earnings-report-fourth-quarter.html?ana=yahoo
90,Jan-27-22 08:46AM  , Insider Monkey,Heres a Reason to Stay Optimistic in Elon Musks Tesla Inc. (TSLA),https://finance.yahoo.com/news/reason-stay-optimistic-elon-musk-134645613.html
91,Jan-27-22 08:27AM  , The Independent,Elon Musk delays Teslas Cybertruck for yet another year due to supply chain shortages,https://finance.yahoo.com/news/elon-musk-delays-tesla-cybertruck-132752707.html
92,Jan-27-22 08:22AM  , Investor's Business Daily,Dow Jones Futures Volatile After Fed Chief Powell Wipes Out Market Gains; Tesla Leads Earnings Movers,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fed-chief-powell-hawkish-comments-wipes-out-market-rally-tesla-headlines-earnings/?src=A00220
93,Jan-27-22 08:15AM  , Motley Fool,2 Undervalued EV Stocks You Can Buy and Hold for the Next Decade,https://www.fool.com/investing/2022/01/27/2-undervalued-ev-stocks-you-can-buy-and-hold-for-t/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
94,Jan-27-22 08:14AM  , Reuters,UPDATE 1-Musk's bets on Tesla: human-like robots and self-driving cars,https://finance.yahoo.com/news/1-musks-bets-tesla-human-131450483.html
95,Jan-27-22 07:00AM  , Quartz,The crypto selloff wiped $7 billion off corporate balance sheets,https://qz.com/2118130/the-crypto-selloff-wiped-7-billion-off-corporate-balance-sheets/?utm_source=YPL
96,Jan-27-22 06:41AM  , Zacks,5 Top-Ranked Stocks Likely to Beat Earnings Estimates,https://finance.yahoo.com/news/5-top-ranked-stocks-likely-114111113.html
97,Jan-27-22 06:39AM  , The Independent,Elon Musk says Teslas Optimus robot could one day outsell its cars,https://finance.yahoo.com/news/elon-musk-says-tesla-optimus-113926987.html
98,Jan-27-22 06:34AM  , Barrons.com,The Feds Nimble Approach Signals a Wild Ride Ahead,https://www.barrons.com/articles/things-to-know-today-51643277376?siteid=yhoof2
99,Jan-27-22 06:30AM  , Motley Fool,Will Tesla's Dojo Supercomputer Disrupt AI in 2022?,https://www.fool.com/investing/2022/01/27/will-teslas-dojo-supercomputer-disrupt-ai-in-2022/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
